Date,rate_ISRG_5D,rate_ISRG_20D,rate_VOO_5D,rate_VOO_20D
2023-06-05,7.715999999999999,6.662000000000001,-2.758,-4.250500000000001
2023-06-06,8.228,6.848000000000001,-2.386,-4.0745
2023-06-07,8.129999999999999,6.9185,-1.9760000000000002,-3.8950000000000005
2023-06-08,8.120000000000001,7.031999999999999,-1.6440000000000001,-3.7065000000000006
2023-06-09,8.144,7.164,-1.558,-3.5035000000000003
2023-06-12,7.889999999999999,7.282500000000001,-1.254,-3.2495
2023-06-13,7.874,7.388,-0.86,-2.9785
2023-06-14,8.928,7.6450000000000005,-0.388,-2.6735
2023-06-15,10.094,7.9625,0.22200000000000003,-2.3594999999999997
2023-06-16,11.203999999999999,8.2325,0.7260000000000001,-2.1095
2023-06-20,12.154,8.4545,0.958,-1.875
2023-06-21,12.71,8.608,0.9520000000000002,-1.6705
2023-06-22,13.014,9.0305,1.004,-1.395
2023-06-23,12.946000000000002,9.4295,0.652,-1.1215
2023-06-26,12.666,9.772000000000002,0.292,-0.909
2023-06-27,12.768,10.132,0.242,-0.7030000000000001
2023-06-28,13.313999999999998,10.5315,0.30999999999999994,-0.496
2023-06-29,13.918000000000001,10.997499999999999,0.304,-0.26400000000000007
2023-06-30,14.746,11.4765,0.682,-0.022
2023-07-03,15.309999999999999,11.831,1.1720000000000002,0.158
2023-07-05,15.459999999999999,12.068000000000001,1.4,0.3365
2023-07-06,15.206,12.276,1.456,0.46449999999999997
2023-07-07,14.706,12.641499999999999,1.468,0.597
2023-07-10,14.565999999999999,13.088,1.3,0.7140000000000001
2023-07-11,14.766000000000002,13.486500000000001,1.23,0.8550000000000001
2023-07-12,15.574000000000002,13.988999999999999,1.3619999999999999,0.9904999999999999
2023-07-13,16.580000000000002,14.4525,1.8199999999999998,1.1345
2023-07-14,17.908,14.886500000000002,2.308,1.2710000000000001
2023-07-17,18.666000000000004,15.231,2.812,1.3615
2023-07-18,19.556,15.5745,3.344,1.5095
2023-07-19,19.65,15.863,3.7619999999999996,1.6915
2023-07-20,19.654000000000003,16.188499999999998,3.882,1.8669999999999998
2023-07-21,18.584,16.279,4.0200000000000005,2.025
2023-07-24,16.716,16.1735,4.1739999999999995,2.242
2023-07-25,15.256,16.222,4.224,2.4925
2023-07-26,14.02,16.176,4.234,2.6895
2023-07-27,12.532,15.993,4.26,2.8545000000000003
2023-07-28,11.916,15.7785,4.454,3.0625
2023-07-31,11.969999999999999,15.479499999999998,4.595999999999999,3.2205
2023-08-01,11.474,15.263,4.616,3.3534999999999995
2023-08-02,10.42,14.916000000000002,4.406000000000001,3.441
2023-08-03,9.576,14.5855,4.27,3.558
2023-08-04,8.41,14.2045,3.886,3.6670000000000003
2023-08-07,7.378,13.682500000000001,3.6100000000000003,3.7979999999999996
2023-08-08,6.1,13.0965,3.342,3.8815
